character,name,unicode,css_escape,category
≡,equiv,U+2261,\2261,Relations and comparison symbols
≢,not_equiv,U+2262,\2262,Relations and comparison symbols
⊥,perp,U+22A5,\22A5,Relations and comparison symbols
≈,asymp,U+E003,\E003,Relations and comparison symbols
⌢,frown,U+2322,\2322,Relations and comparison symbols
≺,prec,U+227A,\227A,Relations and comparison symbols
≻,succ,U+227B,\227B,Relations and comparison symbols
⋈,bowtie,U+22C8,\22C8,Geometric and shape symbols
⪯,preceq,U+2AAF,\2AAF,Relations and comparison symbols
⪰,succeq,U+2AB0,\2AB0,Relations and comparison symbols
